kommnr;Kommune;arsverk_2020;arsverk_2021_for;Brutto_driftsutgifter_helse_2021;Folkemengde_2021;arsverk_2021_end;x;kostragr;kostranavn;kommnavn;imp
0301;0301 Oslo;614,5;608,3;19991051;697010;616,1;NA;EKG13;KOSTRA-gruppe 13;Oslo;1
1101;1101 Eigersund;10,9;10,9;468873;14787;10,9;NA;EKG07;KOSTRA-gruppe 7;Eigersund;1
1103;1103 Stavanger;134,4;128,3;3832693;144147;128,3;NA;EKG12;KOSTRA-gruppe 12;Stavanger;1
1106;1106 Haugesund;30,3;29,8;1208662;37323;29,8;NA;EKG10;KOSTRA-gruppe 10;Haugesund;1
1108;1108 Sandnes;55,2;55,9;1934138;80450;55,9;NA;EKG12;KOSTRA-gruppe 12;Sandnes;1
1111;1111 Sokndal;2,0;2,1;128395;3257;2,1;NA;EKG04;KOSTRA-gruppe 4;Sokndal;1
1112;1112 Lund;4,1;4,1;108943;3174;4,1;NA;EKG04;KOSTRA-gruppe 4;Lund;1
1114;1114 Bjerkreim;2,6;2,6;74320;2791;2,6;NA;EKG04;KOSTRA-gruppe 4;Bjerkreim;1
1119;1119 Hï¿½;14,5;15,2;542010;19120;15,2;NA;EKG07;KOSTRA-gruppe 7;H�;1
1120;1120 Klepp;12,7;12,7;481809;19848;12,7;NA;EKG07;KOSTRA-gruppe 7;Klepp;1
1121;1121 Time;12,5;12,5;500993;19106;12,5;NA;EKG07;KOSTRA-gruppe 7;Time;1
1122;1122 Gjesdal;7,3;7,1;297226;12064;7,1;NA;EKG07;KOSTRA-gruppe 7;Gjesdal;1
1124;1124 Sola;17,3;17,3;779510;27457;17,3;NA;EKG09;KOSTRA-gruppe 9;Sola;1
1127;1127 Randaberg;9,6;7,6;336058;11315;7,6;NA;EKG07;KOSTRA-gruppe 7;Randaberg;1
1130;1130 Strand;11,7;11,6;383223;13070;11,6;NA;EKG07;KOSTRA-gruppe 7;Strand;1
1133;1133 Hjelmeland;3,0;3,0;96213;2580;3,0;NA;EKG06;KOSTRA-gruppe 6;Hjelmeland;1
1134;1134 Suldal;4,5;4,5;187371;3809;4,5;NA;EKG17;KOSTRA-gruppe 17;Suldal;1
1135;1135 Sauda;3,8;3,8;220208;4561;3,8;NA;EKG06;KOSTRA-gruppe 6;Sauda;1
1144;1144 Kvitsï¿½y;0,5;0,5;20730;507;0,5;NA;EKG16;KOSTRA-gruppe 16;Kvits�y;1
1145;1145 Bokn;1,5;1,4;43179;859;1,4;NA;EKG14;KOSTRA-gruppe 14;Bokn;1
1146;1146 Tysvï¿½r;10,2;10,4;392589;11178;10,4;NA;EKG08;KOSTRA-gruppe 8;Tysv�r;1
1149;1149 Karmï¿½y;27,8;27,4;1336520;42345;27,4;NA;EKG10;KOSTRA-gruppe 10;Karm�y;1
1151;1151 Utsira;0,8;0,9;11896;192;0,9;NA;EKG16;KOSTRA-gruppe 16;Utsira;1
1160;1160 Vindafjord;6,6;6,6;319888;8705;6,6;NA;EKG01;KOSTRA-gruppe 1;Vindafjord;1
1505;1505 Kristiansund;27,1;27,6;869692;24099;27,6;NA;EKG09;KOSTRA-gruppe 9;Kristiansund;1
1506;1506 Molde;34,4;34,5;1220457;31870;34,5;NA;EKG10;KOSTRA-gruppe 10;Molde;1
1507;1507 ï¿½lesund;54,7;54,8;2343287;66670;54,8;NA;EKG11;KOSTRA-gruppe 11;�lesund;1
1511;1511 Vanylven;4,0;4,7;150825;3083;4,7;NA;EKG05;KOSTRA-gruppe 5;Vanylven;1
1514;1514 Sande;2,5;2,5;128861;2445;2,5;NA;EKG04;KOSTRA-gruppe 4;Sande;1
1515;1515 Herï¿½y (Mï¿½re og Romsdal);8,2;7,8;306326;8858;7,8;NA;EKG01;KOSTRA-gruppe 1;Her�y (M�re og Romsdal);1
1516;1516 Ulstein;7,5;7,5;245537;8575;7,5;NA;EKG01;KOSTRA-gruppe 1;Ulstein;1
1517;1517 Hareid;4,5;4,5;164146;5140;4,5;NA;EKG01;KOSTRA-gruppe 1;Hareid;1
1520;1520 ï¿½rsta;11,4;11,4;388677;10830;11,4;NA;EKG07;KOSTRA-gruppe 7;�rsta;1
1525;1525 Stranda;4,0;4,0;187733;4482;4,0;NA;EKG01;KOSTRA-gruppe 1;Stranda;1
1528;1528 Sykkylven;8,5;8,5;245729;7596;8,5;NA;EKG01;KOSTRA-gruppe 1;Sykkylven;1
1531;1531 Sula;7,3;8,2;296831;9409;8,2;NA;EKG01;KOSTRA-gruppe 1;Sula;1
1532;1532 Giske;5,2;5,4;274967;8506;5,4;NA;EKG01;KOSTRA-gruppe 1;Giske;1
1535;1535 Vestnes;4,5;4,5;400448;6958;4,5;NA;EKG04;KOSTRA-gruppe 4;Vestnes;1
1539;1539 Rauma;7,9;6,6;298343;7026;6,6;NA;EKG01;KOSTRA-gruppe 1;Rauma;1
1547;1547 Aukra;4,2;4,2;164313;3522;4,2;NA;EKG17;KOSTRA-gruppe 17;Aukra;1
1554;1554 Averï¿½y;4,1;4,6;200748;5808;4,6;NA;EKG01;KOSTRA-gruppe 1;Aver�y;1
1557;1557 Gjemnes;4,0;3,0;115594;2658;3,0;NA;EKG04;KOSTRA-gruppe 4;Gjemnes;1
1560;1560 Tingvoll;3,0;3,0;116100;2985;3,0;NA;EKG05;KOSTRA-gruppe 5;Tingvoll;1
1563;1563 Sunndal;7,0;7,0;290589;6956;7,0;NA;EKG05;KOSTRA-gruppe 5;Sunndal;1
1566;1566 Surnadal;6,0;6,0;227580;5872;6,0;NA;EKG01;KOSTRA-gruppe 1;Surnadal;1
1573;1573 Smï¿½la;2,5;1,5;100440;2128;1,5;NA;EKG06;KOSTRA-gruppe 6;Sm�la;1
